index,Area Code,Area Name,Total Population,PM2.5 Concentration (µg/m3),Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 6%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 1%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 12%
525,00BEGT,Rotherhithe,13022,15.72,6,1,12
526,00BEGU,South Bermondsey,12809,15.99,6,1,12
527,00BEGW,South Camberwell,12313,15.5,6,1,11
528,00BEGX,Surrey Docks,12719,15.35,6,1,12
529,00BEGY,The Lane,14420,15.67,7,1,13
530,00BEGZ,Village,11096,15.44,5,1,10
531,00BFGC,Beddington North,9938,15.04,7,1,12
532,00BFGD,Beddington South,10364,14.85,7,1,13
533,00BFGE,Belmont,10067,14.91,7,1,12
534,00BFGF,Carshalton Central,9977,14.96,7,1,12
535,00BFGG,Carshalton South and Clockhouse,10028,14.71,7,1,12
536,00BFGH,Cheam,9849,14.93,6,1,12
537,00BFGJ,Nonsuch,10312,14.84,7,1,13
538,00BFGK,St. Helier,11450,15.07,8,1,14
539,00BFGL,Stonecot,10477,14.98,7,1,13
540,00BFGM,Sutton Central,10869,14.96,7,1,13
541,00BFGN,Sutton North,9895,14.92,7,1,12
542,00BFGP,Sutton South,9247,14.78,6,1,11
543,00BFGQ,Sutton West,10255,15.02,7,1,13
544,00BFGR,The Wrythe,10436,14.9,7,1,13
545,00BFGS,Wallington North,10074,15.06,7,1,12
546,00BFGT,Wallington South,9807,15.02,6,1,12
547,00BFGU,Wandle Valley,10998,15.1,7,1,14
548,00BFGW,Worcester Park,11137,14.84,7,1,14
549,00BGFW,Bethnal Green North,12347,15.92,5,1,10
550,00BGFX,Bethnal Green South,14886,15.88,7,1,12
551,00BGFY,Blackwall and Cubitt Town,20406,16.11,9,2,17
552,00BGFZ,Bow East,10897,16.31,5,1,9
553,00BGGA,Bow West,11101,15.7,5,1,9
554,00BGGB,Bromley-by-Bow,14514,16.27,6,1,12
555,00BGGC,East India and Lansbury,13202,16.28,6,1,11
556,00BGGD,Limehouse,14328,16.25,6,1,12
557,00BGGE,Mile End and Globe Town,15412,15.81,7,1,13
558,00BGGF,Mile End East,12377,15.74,5,1,10
559,00BGGG,Millwall,16705,15.56,7,1,14
560,00BGGH,St. Dunstan's and Stepney Green,15037,15.65,7,1,12
561,00BGGJ,St. Katherine's and Wapping,12734,16.13,6,1,10
562,00BGGK,Shadwell,12733,16.44,6,1,10
563,00BGGL,Spitalfields and Banglatown,9417,16.37,4,1,8
564,00BGGM,Weavers,12420,15.9,5,1,10
565,00BGGN,Whitechapel,13148,16.32,6,1,11
566,00BHFX,Cann Hall,11792,15.27,7,1,12
567,00BHFY,Cathall,10981,15.86,6,1,11
568,00BHFZ,Chapel End,11965,15.33,7,1,12
569,00BHGA,Chingford Green,9742,14.69,5,1,10
570,00BHGB,Endlebury,10284,14.87,6,1,11
571,00BHGC,Forest,10971,15.26,6,1,11
572,00BHGD,Grove Green,11832,15.75,7,1,12
573,00BHGE,Hale End and Highams Park,10199,15.21,6,1,11
574,00BHGF,Hatch Lane,10072,14.82,6,1,10
575,00BHGG,High Street,11959,15.06,7,1,12
576,00BHGH,Higham Hill,11441,15.15,6,1,12
577,00BHGJ,Hoe Street,12041,15.15,7,1,13
578,00BHGK,Larkswood,10869,14.97,6,1,11
579,00BHGL,Lea Bridge,12927,15.24,7,1,13
580,00BHGM,Leyton,13705,15.46,8,1,14
581,00BHGN,Leytonstone,11718,16.48,7,1,12
582,00BHGP,Markhouse,10745,15.06,6,1,11
583,00BHGQ,Valley,10064,15.66,6,1,10
584,00BHGR,William Morris,11527,15.13,6,1,12
585,00BHGS,Wood Street,11872,15.17,7,1,12
586,00BJFZ,Balham,14268,15.57,7,1,14
587,00BJGA,Bedford,14730,15.43,8,1,14
588,00BJGB,Earlsfield,14116,15.46,7,1,14
589,00BJGC,East Putney,14764,15.56,8,1,14
590,00BJGD,Fairfield,13956,16.12,7,1,13
591,00BJGE,Furzedown,14374,15.27,7,1,14
592,00BJGF,Graveney,14203,15.44,7,1,14
593,00BJGG,Latchmere,13711,16.08,7,1,13
594,00BJGH,Nightingale,14605,15.51,8,1,14
595,00BJGJ,Northcote,13990,15.71,7,1,13
596,00BJGK,Queenstown,15391,16.01,8,1,15
597,00BJGL,Roehampton,13262,15.2,7,1,13
598,00BJGM,St. Mary's Park,15386,15.95,8,1,15
599,00BJGN,Shaftesbury,13510,15.87,7,1,13
600,00BJGP,Southfields,15508,15.47,8,1,15
601,00BJGQ,Thamesfield,14914,15.48,8,1,14
602,00BJGR,Tooting,14266,15.32,7,1,14
603,00BJGS,Wandsworth Common,14477,15.48,7,1,14
604,00BJGT,West Hill,16288,15.18,8,1,16
605,00BJGU,West Putney,13372,15.17,7,1,13
606,00BKGA,Abbey Road,10745,15.83,5,1,9
607,00BKGB,Bayswater,9419,16.66,4,1,8
608,00BKGC,Bryanston and Dorset Square,11415,17.71,5,1,9
609,00BKGD,Churchill,9105,16.34,4,1,7
610,00BKGE,Church Street,10453,16.45,5,1,9
611,00BKGF,Harrow Road,10045,15.97,4,1,8
612,00BKGG,Hyde Park,13288,17.28,6,1,11
613,00BKGH,Knightsbridge and Belgravia,10645,16.32,5,1,9
614,00BKGJ,Lancaster Gate,14050,15.98,6,1,12
615,00BKGK,Little Venice,9381,16.38,4,1,8
616,00BKGL,Maida Vale,11030,15.58,5,1,9
617,00BKGM,Marylebone High Street,10525,17.69,5,1,9
618,00BKGN,Queen's Park,10240,15.65,5,1,8
619,00BKGP,Regent's Park,13283,16.06,6,1,11
620,00BKGQ,St. James's,11015,17.35,5,1,9
621,00BKGR,Tachbrook,9533,16.47,4,1,8
622,00BKGS,Vincent Square,10567,16.7,5,1,9
623,00BKGT,Warwick,8888,16.77,4,1,7
624,00BKGU,Westbourne,11562,16.69,5,1,9
625,00BKGW,West End,9561,17.41,4,1,8
